Label ID;date;site_name ;City;Site_type ;Location_in_network;Collector_type;
MTLN-8-1_2-1339041_S97_L002;24-02-2021;8.1-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-1_2-1339044_S100_L002;24-02-2021;8.1-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-1_2-1339045_S101_L002;24-02-2021;8.1-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-1_2-1339046_S102_L002;26-02-2021;8.1-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-1_2-1339048_S104_L002;25-02-2021;8.1-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-1_2-1339050_S106_L002;25-02-2021;8.1-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-1_2-1339101_S107_L002;25-02-2021;8.1-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-2_2-1339042_S98_L002;25-02-2021;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-2_2-1339043_S99_L002;26-02-2021;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-2_2-1339047_S103_L002;2021-01-03;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-2_2-1339049_S105_L002;2021-01-03;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-2_2-1339102_S108_L002;2021-01-03;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTLN-8-2_2-1339103_S109_L002;2021-01-03;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;;
MTL-North_2-1339104_S110_L002;19-11-2020;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-North_2-1339106_S112_L002;19-11-2020;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-North_2-1339108_S114_L002;23-11-2020;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-North_2-1339110_S116_L002;26-11-2020;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-North_2-1339112_S118_L002;30-11-2020;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-North_2-1339114_S120_L002;30-11-2020;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-North_2-1339116_S122_L002;2020-03-12;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-North_2-1339118_S124_L002;2020-03-12;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-North_2-1339120_S126_L002;2020-07-12;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-South_2-1339105_S111_L002;2020-07-12;02-IntSud;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-South_2-1339107_S113_L002;31-12-2020;02-IntSud;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-South_2-1339109_S115_L002;31-12-2020;02-IntSud;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-South_2-1339111_S117_L002;2021-04-01;02-IntSud;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-South_2-1339113_S119_L002;2021-04-01;02-IntSud;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-South_2-1339115_S121_L002;2021-07-01;02-IntSud;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-South_2-1339117_S123_L002;2021-07-01;02-IntSud;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-South_2-1339119_S125_L002;2021-07-01;02-IntSud;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-South_2-1339121_S127_L002;2021-07-01;02-IntSud;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-10_2-1338508_S10_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-11_2-1338509_S11_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-12_2-1338510_S12_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-13_2-1338511_S13_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-14_2-1338512_S14_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-15-NEG_2-1338513_S15_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-16_2-1338514_S16_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-17_2-1338515_S17_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-18_2-1338516_S18_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-19_2-1338517_S19_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-1-NEG_2-1338449_S1_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-2_2-1338450_S2_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-20_2-1338518_S20_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-21_2-1338519_S21_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-22_2-1338520_S22_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-23_2-1338521_S23_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-24_2-1338522_S24_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-24_2-1338639_S91_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-25_2-1338523_S25_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-25_2-1338640_S92_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-26_2-1338524_S26_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-26_2-1338641_S93_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-27_2-1338525_S27_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-27_2-1338642_S94_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-28_2-1338526_S28_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-29_2-1338527_S29_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-3_2-1338501_S3_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-30_2-1338528_S30_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-32_2-1338530_S32_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-33_2-1338531_S33_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-34_2-1338532_S34_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-4_2-1338502_S4_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-5_2-1338503_S5_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-6_2-1338504_S6_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-7_2-1338505_S7_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-8_2-1338506_S8_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
MTL-WW-N-9_2-1338507_S9_L002;;01-IntNord;Montreal;Interceptor;Fin de Reseau;Composite;
NegCtrl_RT_SARS_WWPMO_003_2-1339432_S285_L002;;;;;;;
NegCtrl_RT_SARS_WWPMO_004_2-1350712_S290_L002;;;;;;;
NegCtrl_RT_SARS_WWPMO_006_2-1516262_S2_L002;;;;;;;
NegCtrl_RT_SARS_WWPMO_008_2-1516654_S194_L002;;;;;;;
NegCtrl_RT_WasteWater002_2-1339234_S190_L002;;;;;;;
ON_1_27-10-20_P20_HRS_2-1339122_S128_L002;27-10-2020;;;;;;
ON_10_21-12-20_D49_HPS_2-1339131_S137_L002;21-12-2020;;;;;;
ON_11_23-11-20_E3_APS_2-1339132_S138_L002;23-11-2020;;;;;;
ON_12_23-12-20_E21_APS_2-1339133_S139_L002;23-12-2020;;;;;;
ON_2_11-11-20_P31_HRS_2-1339123_S129_L002;11-11-2020;;;;;;
ON_3_18-11-20_P41_HRS_2-1339124_S130_L002;18-11-2020;;;;;;
ON_4_06-12-20_P56_HRS_2-1339125_S131_L002;06-12-2020;;;;;;
ON_5_23-12-20_P71_HRS_2-1339126_S132_L002;23-12-2020;;;;;;
ON_6_18-11-20_Q1_ARS_2-1339127_S133_L002;18-11-2020;;;;;;
ON_7_13-12-20_Q20_ARS_2-1339128_S134_L002;13-12-2020;;;;;;
ON_8_23-12-20_Q29_ARS_2-1339129_S135_L002;23-12-2020;;;;;;
ON_9_03-11-20_D34_HPS_2-1339130_S136_L002;03-11-2020;;;;;;
ON-Mining-N-29_2-1338644_S96_L002;;;;;;;
OTT_1_UKB1777_2-1339134_S140_L002;;;;;;;
OTT_2_UKB1777_2-1339135_S141_L002;;;;;;;
OTT-OTHERS-N-1_2-1338533_S35_L002;;;;;;;
OTT-OTHERS-N-2_2-1338534_S36_L002;;;;;;;
