Sample;Sampling_date;Sampling_site;Ct
QC_02_cpTP24h_Raw;2021-01-15;02-Int_West;28.36
QC_01_cpTP24h_Raw;2021-01-16;01-Int_East;27.405
QC_02_cpTP24h_Raw;2021-01-16;02-Int_West;27.1
QC_01_cpTP24h_Raw;2021-01-17;01-Int_East;24.54
QC_02_cpTP24h_Raw;2021-01-17;02-Int_West;27.07
QC_01_cpTP24h_Raw;2021-01-18;01-Int_East;NA
QC_02_cpTP24h_Raw;2021-01-18;02-Int_West;NA
QC_01_cpTP24h_Raw;2021-01-19;01-Int_East;NA
QC_02_cpTP24h_Raw;2021-01-19;02-Int_West;NA
QC_01_cpTP24h_Raw;2021-01-20;01-Int_East;NA
QC_02_cpTP24h_Raw;2021-01-20;02-Int_West;NA
QC_01_cpTP24h_Raw;2021-01-21;01-Int_East;NA
QC_02_cpTP24h_Raw;2021-01-21;02-Int_West;NA
QC_01_cpTP24h_Raw;2021-01-22;01-Int_East;34.7908993477323
QC_02_cpTP24h_Raw;2021-01-22;02-Int_West;34.5692826517421
QC_01_cpTP24h_Raw;2021-01-23;01-Int_East;34.7055712276597
QC_02_cpTP24h_Raw;2021-01-23;02-Int_West;35.127180563417
QC_01_cpTP24h_Raw;2021-01-24;01-Int_East;42.391
QC_02_cpTP24h_Raw;2021-01-24;02-Int_West;34.694528956695
QC_01_cpTP24h_Raw;2021-01-25;01-Int_East;NA
QC_02_cpTP24h_Raw;2021-01-25;02-Int_West;NA
QC_01_cpTP24h_Raw;2021-01-26;01-Int_East;NA
QC_02_cpTP24h_Raw;2021-01-26;02-Int_West;NA
QC_01_cpTP24h_Raw;2021-01-27;01-Int_East;NA
QC_02_cpTP24h_Raw;2021-01-27;02-Int_West;NA
QC_01_cpTP24h_Raw;2021-01-28;01-Int_East;NA
QC_02_cpTP24h_Raw;2021-01-28;02-Int_West;NA
QC_01_cpTP24h_Raw;2021-01-29;01-Int_East;31.5800485864146
QC_02_cpTP24h_Raw;2021-01-29;02-Int_West;31.1610724993557
QC_01_cpTP24h_Raw;2021-01-30;01-Int_East;32.5225356095185
QC_02_cpTP24h_Raw;2021-01-30;02-Int_West;31.3137401732731
QC_01_cpTP24h_Raw;2021-01-31;01-Int_East;31.3112458031129
QC_02_cpTP24h_Raw;2021-01-31;02-Int_West;31.1341322332748
QC_01_cpTP24h_Raw;2021-02-01;01-Int_East;34.1091275177457
QC_02_cpTP24h_Raw;2021-02-01;02-Int_West;34.3988115269381
QC_01_cpTP24h_Raw;2021-02-02;01-Int_East;34.7023907879177
QC_02_cpTP24h_Raw;2021-02-02;02-Int_West;34.442170306935
QC_01_cpTP24h_Raw;2021-02-03;01-Int_East;34.6532381573134
QC_02_cpTP24h_Raw;2021-02-03;02-Int_West;33.8791800207708
QC_01_cpTP24h_Raw;2021-02-04;01-Int_East;34.484208289765
QC_02_cpTP24h_Raw;2021-02-04;02-Int_West;33.0868125994551
QC_01_cpTP24h_Raw;2021-02-05;01-Int_East;35.6867872370764
QC_02_cpTP24h_Raw;2021-02-05;02-Int_West;35.2983263118397
QC_01_cpTP24h_Raw;2021-02-06;01-Int_East;36.0731622558592
QC_02_cpTP24h_Raw;2021-02-06;02-Int_West;34.3326642505585
QC_01_cpTP24h_Raw;2021-02-07;01-Int_East;35.3623626576529
QC_02_cpTP24h_Raw;2021-02-07;02-Int_West;34.8381694839492
QC_01_cpTP24h_Raw;2021-02-08;01-Int_East;36.3171675853924
QC_02_cpTP24h_Raw;2021-02-08;02-Int_West;34.5992801333959
QC_01_cpTP24h_Raw;2021-02-09;01-Int_East;35.5491010662749
QC_02_cpTP24h_Raw;2021-02-09;02-Int_West;34.2797267396063
QC_01_cpTP24h_Raw;2021-02-10;01-Int_East;35.1791110968711
QC_02_cpTP24h_Raw;2021-02-10;02-Int_West;33.7589057552725
QC_01_cpTP24h_Raw;2021-02-11;01-Int_East;35.5190408497179
QC_02_cpTP24h_Raw;2021-02-11;02-Int_West;33.7235975321168
QC_01_cpTP24h_Raw;2021-02-12;01-Int_East;40.6547294888973
QC_02_cpTP24h_Raw;2021-02-12;02-Int_West;42.391
QC_01_cpTP24h_Raw;2021-02-13;01-Int_East;42.391
QC_02_cpTP24h_Raw;2021-02-13;02-Int_West;42.391
QC_01_cpTP24h_Raw;2021-02-14;01-Int_East;42.391
QC_02_cpTP24h_Raw;2021-02-14;02-Int_West;42.391
QC_01_cpTP24h_Raw;2021-02-15;01-Int_East;33.7586618330916
QC_02_cpTP24h_Raw;2021-02-15;02-Int_West;31.3834962614987
QC_01_cpTP24h_Raw;2021-02-16;01-Int_East;32.9466300028615
QC_02_cpTP24h_Raw;2021-02-16;02-Int_West;32.3199122296202
QC_01_cpTP24h_Raw;2021-02-17;01-Int_East;34.2977723113924
QC_02_cpTP24h_Raw;2021-02-17;02-Int_West;34.2077036075869
QC_01_cpTP24h_Raw;2021-02-18;01-Int_East;33.7658086000446
QC_02_cpTP24h_Raw;2021-02-18;02-Int_West;33.2451902257413
QC_01_cpTP24h_Raw;2021-02-19;01-Int_East;34.7033494068926
QC_02_cpTP24h_Raw;2021-02-19;02-Int_West;34.4428949127891
QC_01_cpTP24h_Raw;2021-02-20;01-Int_East;34.2183374069478
QC_02_cpTP24h_Raw;2021-02-20;02-Int_West;42.391
QC_01_cpTP24h_Raw;2021-02-21;01-Int_East;33.5844433666042
QC_02_cpTP24h_Raw;2021-02-21;02-Int_West;39.7435738965099
QC_01_cpTP24h_Raw;2021-02-22;01-Int_East;35.3620571671793
QC_02_cpTP24h_Raw;2021-02-22;02-Int_West;35.6312167424529
QC_01_cpTP24h_Raw;2021-02-23;01-Int_East;35.5662822065115
QC_02_cpTP24h_Raw;2021-02-23;02-Int_West;36.0837319638507
QC_01_cpTP24h_Raw;2021-02-24;01-Int_East;35.7050707567986
QC_02_cpTP24h_Raw;2021-02-24;02-Int_West;34.6586152581699
QC_01_cpTP24h_Raw;2021-02-25;01-Int_East;34.6054236891858
QC_02_cpTP24h_Raw;2021-02-25;02-Int_West;34.8203592653722
